Latitude,Longitude,Country,State,Deaths,Confirmed,Recovered,County,FIPS,People_Hospitalized,People_Tested,Incident_Rate,Mortality_Rate,Testing_Rate,Hospitalization_Rate,_time,file_name
42.1657,-74.9481,US,New York,30280,377316,67261.0,,36.0,89995.0,2437407.0,1939.572914182653,8.025103626668363,,23.851360663210677,06-06-2020,06-06-2020.csv
35.6301,-79.8064,US,North Carolina,1028,34718,18860.0,,37.0,,497350.0,331.02328318499355,2.961000057607005,,,06-06-2020,06-06-2020.csv
47.5289,-99.784,US,North Dakota,72,2816,2268.0,,38.0,182.0,78880.0,369.5237395382528,2.5568181818181817,,6.4630681818181825,06-06-2020,06-06-2020.csv
15.0979,145.6739,US,Northern Mariana Islands,17,26,16.0,,69.0,,6695.0,47.14928188016829,65.38461538461539,,,06-06-2020,06-06-2020.csv
40.3888,-82.7649,US,Ohio,2372,38111,,,39.0,6460.0,458526.0,326.0387882728354,6.22392485109286,,16.950486736112932,06-06-2020,06-06-2020.csv
35.5653,-96.9289,US,Oklahoma,347,7059,5867.0,,40.0,1026.0,221601.0,178.39402917029213,4.915710440572319,,14.534636634084148,06-06-2020,06-06-2020.csv
44.572,-122.0709,US,Oregon,161,4570,2237.0,,41.0,819.0,146159.0,108.35194323401389,3.5229759299781183,,17.921225382932167,06-06-2020,06-06-2020.csv
40.5908,-77.2098,US,Pennsylvania,5931,79505,52560.0,,42.0,,510828.0,621.0363092797534,7.4599081818753525,,,06-06-2020,06-06-2020.csv
18.2208,-66.5901,US,Puerto Rico,142,4915,,,72.0,,4915.0,167.55255320773654,2.8891149542217702,,,06-06-2020,06-06-2020.csv
41.6809,-71.5118,US,Rhode Island,772,15441,1336.0,,44.0,1775.0,170739.0,1457.5767844955594,4.999676186775468,,11.495369470889194,06-06-2020,06-06-2020.csv
33.8569,-80.945,US,South Carolina,539,13453,7347.0,,45.0,1814.0,231299.0,261.2885470041645,4.006541291905152,,13.483981268118635,06-06-2020,06-06-2020.csv
44.2998,-99.4388,US,South Dakota,65,5367,4273.0,,46.0,474.0,55458.0,606.6744361386702,1.2111049003167504,,8.831749580771383,06-06-2020,06-06-2020.csv
35.7478,-86.6923,US,Tennessee,417,26177,17124.0,,47.0,1923.0,491421.0,383.31136386333117,1.5930014898575084,,7.34614356114146,06-06-2020,06-06-2020.csv
31.0545,-97.5635,US,Texas,1833,74470,48895.0,,48.0,,1093277.0,256.8295821051273,2.461393849872432,,,06-06-2020,06-06-2020.csv
40.15,-111.8624,US,Utah,121,11798,6939.0,,49.0,890.0,235149.0,368.00232566989337,1.0255975589082895,,7.543651466350229,06-06-2020,06-06-2020.csv
44.0459,-72.7107,US,Vermont,55,1046,888.0,,50.0,,40083.0,167.6311601646824,5.258126195028682,,,06-06-2020,06-06-2020.csv
18.3358,-64.8963,US,Virgin Islands,6,71,62.0,,78.0,,2196.0,66.18935749711004,8.450704225352112,,,06-06-2020,06-06-2020.csv
37.7693,-78.17,US,Virginia,1461,49397,6382.0,,51.0,7553.0,371131.0,578.7228638352277,2.957669494098832,,15.290402251148855,06-06-2020,06-06-2020.csv
47.4009,-121.4905,US,Washington,1153,23442,,,53.0,3639.0,390863.0,307.84411547214125,4.918522310383073,,15.523419503455337,06-06-2020,06-06-2020.csv
38.4912,-80.9545,US,West Virginia,84,2136,1446.0,,54.0,,109723.0,119.18665154141931,3.9325842696629216,,,06-06-2020,06-06-2020.csv
44.2685,-89.6165,US,Wisconsin,645,20571,13770.0,,55.0,2832.0,335373.0,353.3058511268655,3.1354819892081087,,13.766953478197465,06-06-2020,06-06-2020.csv
42.756,-107.3025,US,Wyoming,17,939,757.0,,56.0,90.0,28508.0,162.24369729023653,1.810436634717785,,9.584664536741213,06-06-2020,06-06-2020.csv
32.3182,-86.9023,US,Alabama,1007,43953,22082.0,,1.0,2909.0,449886.0,896.4173287363212,2.2910836575432847,,6.61843332650786,07-05-2020,07-05-2020.csv
61.3707,-152.4044,US,Alaska,16,1134,544.0,,2.0,,122732.0,155.0143873582623,1.4109347442680775,,,07-05-2020,07-05-2020.csv
-14.271,-170.132,US,American Samoa,0,0,,,60.0,,696.0,0.0,,,,07-05-2020,07-05-2020.csv
33.7298,-111.4312,US,Arizona,1825,98103,11361.0,,4.0,5161.0,604362.0,1347.8062136500155,1.8602896955240917,,5.260797325260187,07-05-2020,07-05-2020.csv
34.9697,-92.3731,US,Arkansas,287,23814,16726.0,,5.0,1536.0,338893.0,789.1168545074498,1.2051734273956496,,6.449987402368356,07-05-2020,07-05-2020.csv
36.1162,-119.6816,US,California,6373,264681,,,6.0,,4680138.0,669.8711940353243,2.407804111364246,,,07-05-2020,07-05-2020.csv
39.0598,-105.3111,US,Colorado,1701,34048,4568.0,,8.0,5550.0,350717.0,591.2408556322083,4.995888157894737,,16.30051691729323,07-05-2020,07-05-2020.csv
41.5978,-72.7554,US,Connecticut,4335,46717,8210.0,,9.0,10411.0,499669.0,1310.3292946682836,9.279277350857289,,22.28524948091701,07-05-2020,07-05-2020.csv
39.3185,-75.5071,US,Delaware,512,12128,6740.0,,10.0,,123941.0,1245.4763166434575,4.221635883905013,,,07-05-2020,07-05-2020.csv
,,US,Diamond Princess,0,49,,,88888.0,,,,0.0,,,07-05-2020,07-05-2020.csv
38.8974,-77.0268,US,District of Columbia,559,10482,1542.0,,11.0,,105993.0,1485.230584811314,5.332951726769701,,,07-05-2020,07-05-2020.csv
27.7663,-81.6868,US,Florida,3731,200111,,,12.0,16201.0,2200199.0,931.7136158246094,1.8644652218019,,8.096006716272468,07-05-2020,07-05-2020.csv
33.0406,-83.6431,US,Georgia,2860,95516,,,13.0,11775.0,949185.0,899.6156600335129,2.9942627413208265,,12.327777545123329,07-05-2020,07-05-2020.csv
,,US,Grand Princess,3,103,,,99999.0,,,,2.9126213592233015,,,07-05-2020,07-05-2020.csv
13.4443,144.7937,US,Guam,5,280,179.0,,66.0,,14954.0,170.49363997832296,1.7857142857142858,,,07-05-2020,07-05-2020.csv
21.0943,-157.4983,US,Hawaii,19,1023,756.0,,15.0,118.0,84325.0,72.25229399267732,1.857282502443793,,11.534701857282505,07-05-2020,07-05-2020.csv
44.2405,-114.4788,US,Idaho,93,7733,2858.0,,16.0,359.0,104266.0,432.72069007003097,1.2026380447433078,,4.642441484546747,07-05-2020,07-05-2020.csv
40.3495,-88.9861,US,Illinois,7020,147251,,,17.0,,1762828.0,1162.0350382158965,4.767370000882846,,,07-05-2020,07-05-2020.csv
39.8494,-86.2583,US,Indiana,2693,48201,36475.0,,18.0,7254.0,521722.0,715.9749259493786,5.587021016161491,,15.049480301238566,07-05-2020,07-05-2020.csv
42.0115,-93.2105,US,Iowa,721,31517,24739.0,,19.0,,332472.0,998.9318778981133,2.2876542818161627,,,07-05-2020,07-05-2020.csv
38.5266,-96.7265,US,Kansas,284,16081,842.0,,20.0,1219.0,191561.0,551.9830680798568,1.7660593246688638,,7.580374354828679,07-05-2020,07-05-2020.csv
37.6681,-84.6701,US,Kentucky,585,16376,4747.0,,21.0,2685.0,395647.0,366.54428379158463,3.5723009281875915,,16.395945285784073,07-05-2020,07-05-2020.csv
